date,type_id,label,group,index,coverage,skus,baseline_skus,baseline_date
2026-08-18,bread_white,Beyaz ekmek,bread_cereals,,0.0,0,0,2026-08-16
2026-08-18,bread_toast,Tost ekmeği,bread_cereals,100.0,0.9286,13,14,2026-08-16
2026-08-18,bread_wholewheat,Tam buğday ekmeği,bread_cereals,100.0,1.0,15,15,2026-08-16
2026-08-18,flour_wheat,Buğday unu,bread_cereals,100.0,1.0,24,24,2026-08-16
2026-08-18,rice,Pirinç,bread_cereals,100.7312,0.92,23,25,2026-08-16
2026-08-18,bulgur,Bulgur,bread_cereals,100.0,1.0,25,25,2026-08-16
2026-08-18,pasta_spaghetti,Spagetti makarna,bread_cereals,100.0,1.0,12,12,2026-08-16
2026-08-18,pasta_other,Diğer makarna,bread_cereals,100.0,0.72,18,25,2026-08-16
2026-08-18,vermicelli,Şehriye,bread_cereals,100.0,1.0,20,20,2026-08-16
2026-08-18,oats,Yulaf ezmesi,bread_cereals,100.0,1.0,16,16,2026-08-16
2026-08-18,breakfast_cereal,Kahvaltılık gevrek,bread_cereals,,0.0,0,0,2026-08-16
2026-08-18,semolina,İrmik,bread_cereals,100.0,1.0,17,17,2026-08-16
2026-08-18,beef_mince,Dana kıyma,meat,102.1267,0.8333,10,12,2026-08-16
2026-08-18,beef_cubes,Dana kuşbaşı / sote,meat,101.5874,0.9091,10,11,2026-08-16
2026-08-18,chicken_breast,Tavuk göğüs,meat,100.0,0.8333,5,6,2026-08-16
2026-08-18,chicken_thigh,Tavuk but / baget,meat,103.1108,0.75,9,12,2026-08-16
2026-08-18,whole_chicken,Bütün piliç,meat,98.7523,1.0,16,16,2026-08-16
2026-08-18,turkey,Hindi eti,meat,113.8577,1.0,4,4,2026-08-16
2026-08-18,sucuk,Sucuk,meat,100.0,0.84,21,25,2026-08-16
2026-08-18,salami,Salam,meat,100.0,0.9583,23,24,2026-08-16
2026-08-18,sausage,Sosis,meat,100.0531,0.9583,23,24,2026-08-16
2026-08-18,meatballs,Köfte,meat,100.0,1.0,13,13,2026-08-16
2026-08-18,tuna,Ton balığı,fish,100.0,0.96,24,25,2026-08-16
2026-08-18,sardine,Konserve sardalya,fish,,0.0,0,0,2026-08-16
2026-08-18,smoked_salmon,Somon füme,fish,,1.0,4,4,2026-08-16
2026-08-18,salmon,Somon fileto,fish,,0.0,0,1,2026-08-16
2026-08-18,frozen_fish,Dondurulmuş balık,fish,100.0,1.0,10,10,2026-08-16
2026-08-18,fish_fingers,Balık parmak,fish,,0.0,0,0,2026-08-16
2026-08-18,milk,İçme sütü,dairy_eggs,100.0,0.96,24,25,2026-08-16
2026-08-18,milk_lactosefree,Laktozsuz süt,dairy_eggs,100.3389,1.0,20,20,2026-08-16
2026-08-18,yogurt,Yoğurt,dairy_eggs,100.5382,0.9583,23,24,2026-08-16
2026-08-18,strained_yogurt,Süzme yoğurt,dairy_eggs,100.9751,1.0,13,13,2026-08-16
2026-08-18,ayran,Ayran,dairy_eggs,100.6,0.9583,23,24,2026-08-16
2026-08-18,kefir,Kefir,dairy_eggs,99.3822,1.0,20,20,2026-08-16
2026-08-18,white_cheese,Beyaz peynir,dairy_eggs,100.0,0.88,22,25,2026-08-16
2026-08-18,kasar,Kaşar peyniri,dairy_eggs,100.3578,1.0,25,25,2026-08-16
2026-08-18,labneh,Labne,dairy_eggs,97.6009,1.0,24,24,2026-08-16
2026-08-18,cream_cheese,Krem peynir,dairy_eggs,100.1028,0.9583,23,24,2026-08-16
2026-08-18,mozzarella,Mozzarella,dairy_eggs,100.0,1.0,13,13,2026-08-16
2026-08-18,eggs,Yumurta,dairy_eggs,100.9289,1.0,25,25,2026-08-16
2026-08-18,cream,Krema,dairy_eggs,99.3008,0.9474,18,19,2026-08-16
2026-08-18,sunflower_oil,Ayçiçek yağı,oils_fats,100.0,0.88,22,25,2026-08-16
2026-08-18,olive_oil,Zeytinyağı,oils_fats,100.4341,0.92,23,25,2026-08-16
2026-08-18,butter,Tereyağı,oils_fats,99.5337,0.96,24,25,2026-08-16
2026-08-18,margarine,Margarin,oils_fats,100.0,1.0,22,22,2026-08-16
2026-08-18,corn_oil,Mısırözü yağı,oils_fats,,1.0,1,1,2026-08-16
2026-08-18,banana,Muz,fruit,99.8658,1.0,16,16,2026-08-16
2026-08-18,apple,Elma,fruit,103.6311,0.9091,10,11,2026-08-16
2026-08-18,orange,Portakal,fruit,100.0,0.9167,11,12,2026-08-16
2026-08-18,mandarin,Mandalina,fruit,,1.0,1,1,2026-08-16
2026-08-18,lemon,Limon,fruit,100.0,1.0,7,7,2026-08-16
2026-08-18,pear,Armut,fruit,99.998,1.0,9,9,2026-08-16
2026-08-18,peach,Şeftali,fruit,101.8561,1.0,5,5,2026-08-16
2026-08-18,grape,Üzüm,fruit,101.6208,1.0,15,15,2026-08-16
